From country,Armenia,Australia,Austria,Azerbaijan,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,France,Georgia,Germany,Hungary,Israel,Italy,Latvia,Lithuania,Malta,Poland,Russia,Serbia,Spain,Sweden,The Netherlands,Ukraine,United Kingdom
Albania,2.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,5.0,7.0,0.0,0.0,3.0,0.0,6.0,0.0
Armenia,,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0
Australia,0.0,,3.0,0.0,12.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,8.0,4.0
Austria,0.0,3.0,,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,0.0,7.0,6.0,10.0,0.0
Azerbaijan,0.0,2.0,0.0,,0.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0
Belarus,7.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,6.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0
Belgium,7.0,4.0,3.0,0.0,,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,10.0,2.0,0.0
Bosnia & Herzegovina,0.0,3.0,5.0,8.0,0.0,2.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,7.0,0.0
Bulgaria,8.0,5.0,4.0,1.0,0.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,3.0,0.0,10.0,0.0
Croatia,0.0,5.0,6.0,0.0,0.0,1.0,,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,0.0,7.0,0.0,10.0,0.0
Cyprus,8.0,5.0,0.0,0.0,0.0,12.0,0.0,,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,7.0,0.0
Czech Republic,8.0,1.0,4.0,6.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,2.0,0.0,12.0,0.0
Denmark,0.0,10.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,4.0,0.0,0.0,12.0,7.0,3.0,0.0
Estonia,0.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,12.0,0.0,0.0,10.0,0.0,8.0,0.0
F.Y.R. Macedonia,7.0,3.0,0.0,0.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,12.0,0.0,0.0,0.0,6.0,0.0
Finland,0.0,7.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,0.0,0.0,10.0,0.0,12.0,0.0
France,12.0,0.0,8.0,0.0,4.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,2.0,0.0,10.0,0.0
Georgia,12.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,6.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0
Germany,2.0,5.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,8.0,3.0,6.0,0.0
Greece,8.0,5.0,1.0,0.0,0.0,7.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0
Hungary,0.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,7.0,2.0,12.0,0.0
Iceland,0.0,8.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,7.0,0.0,0.0,12.0,6.0,0.0,0.0
