NAME,the_geom,TEL,URL,ADDRESS1,ADDRESS2,CITY,ZIP
O'reilly William & Co Ltd,POINT (-73.96273074561996 40.773800871637576),(212) 396-1822,http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx,52 E 76th St,,New York,10021
Organization of Independent Artists - Gallery 402,POINT (-74.0093857886298 40.71646850931738),(212) 219-9213,http://www.nonprofitgallery.com/main/usa/ny/oia.html,19 Hudson St.,,New York,10013
Owen Gallery,POINT (-73.96435178145856 40.7740008522409),(212) 879-2415,http://www.owengallery.com/about-us,19 E 75th St,,New York,10021
P P O W Gallerie,POINT (-74.00389261044238 40.74958540084406),(212) 647-1044,http://www.ppowgallery.com/,511 W 25th St,,New York,10001
P P O W Inc,POINT (-74.00176389614576 40.72290742771331),(212) 941-8642,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,476 Broome St,,New York,10013
P S 122 Gallery,POINT (-73.98437148002196 40.72816774159305),(212) 228-4249,http://ps122gallery.org/,150 1st Ave,,New York,10009
Pace Editions,POINT (-73.99437670706857 40.73920194963794),(212) 645-9806,http://www.ziplocal.com/companies/103327232-Pace-Editions,44 W 18th St,,New York,10011
Pace MacGill Gallery,POINT (-73.97202174911459 40.76194965113893),(212) 759-7999,http://www.pacemacgill.com/exhibitions.html,32 E. 57th St.,9th Fl.,New York,10022
Pace Prints & Primitive Gallery,POINT (-73.97211461855828 40.76183646853851),(212) 421-3237,http://www.paceprints.com/,32 E. 57th St.,3rd Fl.,New York,10022
Pace Wildenstein,POINT (-74.00495117630976 40.749448279774704),(212) 929-7000,http://www.pacewildenstein.com/,534 W 25th St,,New York,10001
Pace Wildenstein,POINT (-73.97207691758459 40.761886074501135),(212) 421-3292,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,32 E 57th St,Fl 4,New York,10022
Paige's Art Gallery,POINT (-73.95927392718306 40.815000699601086),(212) 531-1577,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,3163 Broadway,,New York,10027
PaineWebber Gallery,POINT (-73.98058386642786 40.76118894257876),(212) 713-2885,http://www.tfaoi.com/aa/1aa/1aa458.htm,1285 Sixth Ave.,,New York,10019
Paint Can Studios,POINT (-73.92794008275476 40.755157871293065),(718) 937-7360,http://ny.serviceslisted.com/1655944-PaintCanStudios.htm,3608 34th St,,Astoria,11106
Paley Barbara K,POINT (-73.98148007125768 40.76637001937273),(212) 333-4747,http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx,1776 Broadway,,New York,10019
Pall William Inc,POINT (-73.96481233836307 40.764508738680895),(212) 758-3340,http://local.botw.org/New_York/New_York/Pall_William_Inc/56447150.html,188 E 64th St,,New York,10021
Palmer Meredith Gallery,POINT (-73.95482248967467 40.78563341564519),(212) 828-9100,http://www.artinfo.com/galleryguide/12649/1149/meredith-palmer-gallery-ltd/visit/,40 E 94th St,,New York,10128
Pandora Old Masters,POINT (-73.9608164118453 40.76789235225353),(212) 628-1974,http://www.salondudessin.com/an/anpandora.html,212 E 70th St,,New York,10021
Pardo Sheenan Galleries Ltd,POINT (-73.98156101599031 40.74489610149597),(646) 935-0837,http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm,121 E 31st St,,New York,10016
Parker's Box,POINT (-73.9604447082016 40.714309158269266),(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,193 Grand St,,Brooklyn,11211
Parsons Galleries,POINT (-73.9947818620198 40.73539495311296),(212) 229-8987,http://www.parsonswest.com/,2 W. 13th St.,,New York,10011
Patricia Laligant Photographs,POINT (-73.99282054710083 40.74676020721873),(212) 252-9922,http://www.patricialaligant.com/intro.htm,150 W 28th St,,New York,10001
Patrick's Gallery,POINT (-73.99851017182027 40.741868777110206),(212) 741-7453,http://outalot.com/listings/318942-Patricks-Gallery,220 W 19th St,,New York,10011
Paul Kasmin Gallery,POINT (-74.00272285706035 40.75019275007833),(212) 563-4474,http://www.paulkasmingallery.com/,293 10th Ave,,New York,10001
Paula Cooper Gallery,POINT (-74.0068977266516 40.74691990132535),(212) 255-1105,http://www.paulacoopergallery.com/,534 W. 21st St.,,New York,10011
Peck Ian Fine Paintings Ltd,POINT (-73.9636501275563 40.77476053223472),(212) 396-2442,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D01E8-3048-28EB-92857B8592DAED09,980 Madison Ave,,New York,10021
Peder Bonnier Inc,POINT (-73.99623914232185 40.7440599458188),(646) 638-0878,http://web2.userinstinct.com/30816857-peder-bonnier-inc.htm,206 W 23rd St,Fl 4,New York,10011
Perimeter Gallery,POINT (-74.00389939402838 40.74938125319496),(212) 675-1585,http://www.spoke.com/info/c633Fr3/PerimeterGalleryInc,511 W 25th St,,New York,10001
Perlow Rich Katharina Gallery Inc,POINT (-73.97163996489826 40.76236540983018),(212) 644-7171,http://www.artnet.com/katharinarichperlow.html,41 E 57th St,,New York,10022
Peter L Villa Fine Art,POINT (-73.97029437215403 40.761169700561084),(212) 371-1196,http://peterlvillafineart.com/,110 E 57th St,,New York,10022
Peter Rose Gallery,POINT (-73.96690494675263 40.760575546804205),(212) 759-8173,http://peterrosegallery.com/,200 E 58th St,Apt 20C,New York,10022
Peters Gerald Gallery,POINT (-73.96316937082618 40.775663560369196),(212) 628-9760,http://www.gpgallery.com/,24 E 78th St,,New York,10075
Phoenix Design Ltd,POINT (-73.77059062315153 40.76366854810639),(718) 423-3458,http://www.topix.net/yp/flushing-ny/2161581053-phoenix-design-ltd,21415 41st Ave,,Bayside,11361
Phoenix Gallery,POINT (-74.00599166531202 40.749775251812174),(212) 226-8711,http://www.phoenix-gallery.com/phoenixgalleryfellowship2009.pdf,210 ELEVENTH AVENUE,SUITE 902,New York,10001
Phoneup,POINT (-73.9950260483218 40.71651671861807),(212) 219-8287,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx,55 Chrystie St,,New York,10002
Photo & Art Gallery,POINT (-73.75339446579802 40.60296210069956),(718) 471-7840,http://www.yelp.com/biz/photo-and-art-gallery-far-rockaway,1023 Beach 20th St,,Far Rockaway,11691
Photo Collection Gagliardi,POINT (-73.99269646708568 40.7406376655353),(212) 229-1816,http://www.gagliardiphoto.com/contact.htm,27 W 20th St,,New York,10011
Photo District Gallery,POINT (-73.99310574442202 40.74080485280703),(212) 807-8787,http://wap.outalot.com/listings/319183-Photo-District-Gallery,37 W 20th St,Lbby,New York,10011
Phyllis Lucas Gallery Inc,POINT (-73.96795085870986 40.75614508447523),(212) 755-1516,http://www.phyllislucasgallery.com/,981 2nd Ave,,New York,10022
Picture This Corporate Art,POINT (-73.99260350161633 40.68324193641588),(718) 625-2722,http://www.ptcanyc.com/,249 Smith Street,# 102,Brooklyn,11231
Pierogi 2000,POINT (-73.95578160004416 40.718750345970065),(718) 599-2144,http://www.pierogi2000.com/,177 N 9th St,,Brooklyn,11211
Place Des Vosges,POINT (-73.99094407977347 40.73276121745574),(212) 995-2899,http://local.yahoo.com/info-11035506-place-des-vosges-manhattan,816 Broadway,,New York,10003
Plane Space,POINT (-74.00518362849395 40.73439963410778),(917) 606-1268,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,102 Charles St,,New York,10014
Plaster Palace,POINT (-73.98315035383828 40.62575957274058),(718) 621-3175,http://www.merchantcircle.com/business/Plaster.Palace.718-621-3175,5305 18th Ave,,Brooklyn,11204
Plaza Holding Inc,POINT (-73.9757536168505 40.762158820594074),(212) 247-4744,http://m.nyc.com/arts__attractions/plaza_holding_inc.300/map_location.aspx,15 W 55th St,,New York,10019
Plaza Holding Inc,POINT (-73.97568005712148 40.76226036307528),(212) 956-1900,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx,15 W 55th St,,New York,10019
Plaza Watch & Jewelry Exchange,POINT (-73.97867413980654 40.7652614379812),(212) 246-2000,http://local.botw.org/New_York/New_York/Plaza_Watch_and_Jewelry_Exchange/55631196.html,145 W 57th St,,New York,10019
Pleiades Gallery,POINT (-74.004770690104 40.74937493397012),(646) 230-0056,http://www.pleiadesgallery.com/index.html,530 W 25th St,,New York,10001
Plum Blossom Gallery,POINT (-74.0053735768785 40.7501763280434),(212) 719-7008,http://www.plumblossoms.com/,555 W 25th St,,New York,10001
Polizzi Fine Art,POINT (-74.02860202478092 40.628876223412206),(718) 680-6777,http://www.polizzifineart.com/,7813 3rd Ave,,Brooklyn,11209
