,numeric,text,with_missing,label
0,-10.856306,,4.43324,b
1,9.973454,foo,4.310229,b
2,2.829785,foo bar,2.469828,a
3,-15.062947,,2.852981,b
4,-5.786003,foo bar,1.826475,a
5,16.514365,,2.764315,b
6,-24.266792,foo bar,3.024317,b
7,-4.289126,foo,2.59604,b
8,12.659363,,2.496415,a
9,-8.667404,bar,4.03208,a
10,-6.788862,foo bar,3.907483,b
11,-0.94709,bar,3.399122,a
12,14.913896,,1.722489,a
13,-6.38902,bar foo,3.200931,a
14,-4.43982,,,b
15,-4.343513,bar foo,4.315727,b
16,22.059301,foo,1.197709,a
17,21.867861,foo,2.441176,a
18,10.040539,bar,2.41335,a
19,3.861864,foo bar,2.533426,a
20,7.373686,bar,3.957579,a
21,14.90732,bar,0.647642,a
22,-9.358339,,,b
23,11.75829,bar foo,,a
24,-12.538807,,3.980118,b
25,-6.377515,bar,2.450922,a
26,9.071052,foo,2.320222,b
27,-14.286807,,3.346214,b
28,-1.400687,,3.151037,b
29,-8.617549,foo bar,3.069403,a
30,-2.556194,bar foo,-0.801378,b
31,-27.985891,foo bar,1.872828,b
32,-17.715331,foo bar,2.136777,b
33,-6.998772,,3.64301,b
34,9.274624,foo bar,1.55924,a
35,-1.736357,,1.953372,b
36,0.028459,bar,2.845616,a
37,6.882227,foo bar,1.712405,a
38,-8.795363,foo,,b
39,2.836273,foo bar,2.608596,a
40,-8.053665,,4.832906,b
41,-17.276695,,2.370281,b
42,-3.908998,,2.423717,b
43,5.738059,,3.804438,b
44,3.385891,bar,2.344663,a
45,-0.118305,bar,4.511568,a
46,23.923653,bar,,a
47,4.129122,bar,2.69612,a
48,9.78736,,2.839202,b
49,22.381433,foo,5.850708,a
50,-12.940853,foo,3.488654,b
51,-10.387882,bar,3.150477,a
52,17.437122,foo bar,2.867423,a
53,-7.980627,foo,,b
54,0.296832,foo bar,1.481674,a
55,10.69316,foo bar,2.818812,a
56,8.907064,foo bar,0.166343,a
57,17.548862,foo,,b
58,14.956441,bar foo,3.847927,a
59,10.693927,foo,,b
60,-7.727087,bar foo,3.60597,a
61,7.948627,bar foo,,a
62,3.14272,,1.284099,b
63,-13.262655,foo bar,2.321626,b
64,14.17299,foo bar,4.474405,a
65,8.072365,bar,2.47614,a
66,0.454901,,2.864018,b
67,-2.330921,bar foo,2.194438,b
68,-11.983011,bar foo,2.066249,b
69,1.995241,foo bar,2.529731,a
70,4.684391,foo,2.338944,b
71,-8.31155,foo bar,3.957502,b
72,11.62204,bar foo,3.21537,a
73,-10.97203,foo bar,4.018884,b
74,-21.231004,foo,1.612762,b
75,10.397271,foo bar,4.225453,a
76,-4.03366,bar foo,3.021456,b
77,-1.260296,bar,4.839348,a
78,-8.375167,bar foo,2.947224,b
79,-16.059628,foo bar,1.506598,b
80,12.552374,bar,,a
81,-6.88869,bar foo,2.863512,b
82,16.609525,foo,0.847885,b
83,8.073082,foo,,b
84,-3.147581,bar foo,3.231228,a
85,-10.859024,foo,4.076113,b
86,-7.32462,bar,-0.587494,a
87,-12.125231,,4.148869,b
88,20.871134,bar foo,2.525403,a
89,1.644412,foo bar,4.926248,a
90,11.502055,bar foo,1.281719,a
91,-12.67352,bar foo,3.545339,b
92,1.810351,foo,3.411719,b
93,11.778619,foo,,b
94,-3.350108,foo bar,2.226194,b
95,10.311145,bar,2.626255,a
96,-10.845679,bar,2.65328,b
97,-13.634715,bar foo,1.746562,b
98,3.794006,foo,3.992992,b
99,-3.791764,bar,1.9078,a
100,6.420547,,4.023191,a
101,-19.778879,foo,1.211065,b
102,7.122646,bar,2.82281,a
103,25.983039,foo,2.837693,a
104,-0.24626,bar,2.984206,a
105,0.341421,foo,3.956296,b
106,1.795495,bar foo,2.797653,a
107,-18.619757,bar,,b
108,4.261466,bar,2.800672,a
109,-16.054097,foo,3.981007,b
110,-4.276796,bar foo,,a
111,12.428695,bar foo,1.979332,a
112,-7.35217,foo bar,1.043302,a
113,5.01249,foo bar,5.027249,a
114,10.127391,,1.840255,b
115,2.787409,foo bar,1.114568,a
116,-13.709485,bar,2.191101,a
117,-3.324753,foo,2.387545,b
118,19.594113,,4.465456,a
119,-20.250458,foo bar,2.535101,b
120,-2.75786,foo bar,,a
121,-5.521081,,1.20922,b
122,1.207474,foo bar,3.207983,a
123,7.482156,foo bar,1.351204,a
124,16.08691,foo bar,2.686405,a
125,-2.702324,,2.240129,b
126,8.123413,bar,3.058271,a
127,4.997401,,3.634409,b
128,4.743473,,,b
129,-5.639239,foo bar,1.863582,a
130,-9.973215,bar,3.193589,a
131,-11.000431,foo,,b
132,-7.564372,bar foo,4.417375,b
133,3.216866,foo,2.528108,b
134,7.609494,foo bar,,a
135,3.234688,foo,3.186626,b
136,-5.489551,bar,2.205356,a
137,18.059701,bar,2.07558,a
138,15.188656,foo bar,4.408177,a
139,-3.540001,bar,3.618717,a
140,-8.234314,foo bar,2.271922,b
141,1.30215,foo bar,2.981288,a
142,12.672986,,2.914323,a
143,3.32765,foo,,b
144,5.565487,,2.59406,a
145,-2.120801,foo bar,,a
146,4.562709,bar foo,2.02365,a
147,15.445445,bar foo,2.468003,a
148,-2.396688,foo bar,,a
149,1.433077,bar foo,1.917706,a
150,2.538165,foo,3.186285,b
151,2.837254,,2.618729,b
152,-14.118889,foo,2.240525,b
153,-18.768687,bar,1.729724,b
154,-10.196551,,,b
155,1.679423,,3.424243,b
156,5.538562,foo,3.800221,b
157,-5.306746,,3.549288,b
158,13.772575,foo bar,3.624134,a
159,-1.43176,foo,3.382079,b
160,0.20316,bar foo,1.24159,a
161,-1.939639,foo,,b
162,1.340268,bar foo,1.567618,a
163,7.044741,foo,4.369212,b
164,6.656534,foo bar,2.985986,a
165,-8.984229,bar,4.269756,a
166,15.236638,foo bar,1.969678,a
167,-10.950265,foo bar,2.908131,b
168,0.79227,bar,3.263374,a
169,-2.743966,bar foo,2.669098,a
170,-10.489917,foo bar,3.187789,b
171,-0.751206,bar,,a
172,-7.408138,bar,1.968087,a
173,0.729072,foo,0.362078,b
174,4.03086,,4.600624,b
175,14.719294,foo,,b
176,3.073842,,4.1225,b
177,-6.112253,foo bar,3.651913,b
178,-3.916198,foo,2.783313,b
179,1.399781,foo bar,3.380345,a
180,0.934608,bar,1.859466,a
181,14.595893,foo,3.085897,a
182,13.953529,bar foo,,a
183,-3.589359,bar,2.225667,a
184,-5.486421,bar foo,2.619709,b
185,-25.570546,bar foo,3.312594,b
186,-5.489204,,,b
187,-9.780577,bar foo,2.996845,b
188,-3.548245,foo,2.56934,b
189,3.915842,foo bar,2.853584,a
190,1.771923,bar foo,4.160176,a
191,-0.29968,,,b
192,1.995821,bar foo,2.699768,a
193,-1.261178,foo bar,2.367739,a
194,1.970189,foo,2.795683,b
195,-32.31055,bar foo,3.213696,b
196,-2.692935,bar,4.033878,a
197,-1.108507,foo bar,0.875425,a
198,-3.412617,bar foo,3.555489,a
199,-2.179463,foo bar,2.10841,a
200,7.033101,foo bar,3.59307,a
201,-5.981053,foo bar,4.239635,a
202,22.007021,foo bar,3.995595,a
203,6.882969,,3.157959,b
204,-0.063073,,,b
205,-2.066623,,2.056616,b
206,-0.865223,foo bar,2.93217,a
207,-9.153071,foo,4.519471,b
208,-0.952025,bar,2.210744,a
209,2.786835,,3.197269,b
210,5.795416,foo bar,,a
211,5.796898,,,b
212,-2.748775,bar,3.406071,a
213,-14.160823,,2.730481,b
214,-6.691026,foo bar,2.996591,a
215,16.12193,,2.495417,a
216,8.960583,foo,1.174972,b
217,3.696196,foo bar,3.193094,a
218,-7.612942,foo,3.43947,b
219,0.036452,bar foo,,a
220,-12.556687,bar foo,2.868135,b
221,-5.519369,bar foo,1.605291,b
222,-2.452033,bar,2.245992,a
223,-3.616399,,,b
224,9.566019,,2.91547,a
225,-14.187259,foo bar,3.279291,b
226,-8.654323,foo,2.64692,b
227,-13.74688,foo,4.869809,b
228,-12.373532,foo bar,4.727988,a
229,1.240559,bar foo,2.068404,a
230,-16.004405,foo,3.909031,b
231,7.538688,,3.304062,b
232,-2.468158,bar,3.01356,a
233,0.687883,foo,2.140312,b
234,3.225767,,4.621531,b
235,-4.341665,bar foo,4.165258,a
236,10.324797,bar,1.5429,a
237,-1.943427,bar foo,4.383491,a
238,5.940703,,2.961622,b
239,-1.991124,bar foo,2.402209,b
240,2.908744,foo bar,2.023422,a
241,2.796627,,3.94482,b
242,2.499699,bar foo,3.399896,a
243,-9.743078,foo bar,2.125854,b
244,4.358758,foo bar,2.188902,a
245,-3.18957,bar foo,2.612477,a
246,6.30488,bar foo,2.487494,a
247,-21.524934,foo bar,3.52778,b
248,-14.651162,,3.378737,b
249,3.634456,,2.36435,b
250,18.629276,bar foo,,a
251,8.350587,bar,1.666001,a
252,-6.824509,foo,3.870056,b
253,-16.920524,bar foo,2.00519,b
254,7.426862,foo bar,3.111135,a
255,-0.805832,bar,1.236842,a
256,5.907042,bar,3.39706,a
257,1.152987,foo,4.919526,b
258,0.296429,foo,1.671933,b
259,29.586254,bar,3.549697,a
260,-0.0613,,3.272462,b
261,-1.592452,foo bar,,a
262,-1.214487,bar foo,2.86876,a
263,-5.835367,bar,3.272825,a
264,9.901329,foo,3.181974,b
265,-3.537543,foo,3.572843,b
266,6.359427,foo,2.160887,b
267,2.84603,bar,3.192449,a
268,12.189859,foo,,b
269,4.201796,,4.167991,b
270,-12.133848,,3.495729,b
271,-13.264878,foo bar,1.868043,b
272,14.083691,foo bar,1.446422,a
273,-6.087108,,3.408626,b
274,-13.206026,bar,,b
275,-6.696186,foo bar,,b
276,12.646253,foo bar,2.712216,a
277,-14.20213,bar,4.011616,a
278,-8.664952,foo bar,5.125817,a
279,-6.668075,bar foo,,a
280,-12.511899,bar foo,2.884,b
281,-11.843273,,4.013493,b
282,-15.18108,bar foo,4.063905,b
283,-4.611874,bar foo,4.701608,a
284,-3.549088,bar,3.19657,a
285,-6.825382,foo bar,2.367133,b
286,-16.536978,,3.007714,b
287,12.533359,foo,,b
288,-13.290788,foo,3.23981,b
289,2.780337,bar,2.13176,a
290,-10.747666,,3.902006,b
291,6.683169,bar foo,3.69749,a
292,9.558324,bar foo,3.139033,a
293,-8.776136,foo,3.025577,b
294,-19.237157,bar foo,2.803557,b
295,6.957873,,4.312255,b
296,18.758005,bar foo,4.187417,a
297,4.156945,foo,3.145717,b
298,1.605444,bar foo,2.14335,a
299,8.197606,,1.823152,b
300,7.650548,,3.287621,b
301,-8.289888,bar foo,,a
302,-6.591513,foo bar,,a
303,6.111236,bar,2.613304,a
304,-1.440133,,3.773754,b
305,13.166056,,3.207415,a
306,-7.043421,foo,3.998053,b
307,7.506099,foo bar,0.766095,a
308,3.42638,foo,2.77295,b
309,-1.264376,foo,5.216788,b
310,11.759108,foo,0.496839,b
311,6.800715,foo bar,,a
312,-10.049672,foo,,b
313,6.402187,bar foo,4.285701,a
314,13.749906,,,a
315,-1.304447,bar,4.190354,a
316,-2.486559,bar,4.216906,a
317,-6.696471,foo bar,3.19678,b
318,-0.136039,foo bar,1.835988,b
319,6.862007,bar,3.913005,a
320,-8.176683,bar foo,2.026563,b
321,-13.463576,,,b
322,-3.757499,bar foo,3.946908,a
323,-13.79725,bar,4.092068,a
324,5.232184,bar,2.652041,a
325,-4.266898,,3.626983,b
326,-17.554018,,1.457463,b
327,-3.486075,foo bar,2.527619,b
328,-1.92615,foo bar,,a
329,4.491356,bar foo,4.343388,a
330,-1.453635,bar,3.669214,a
331,18.687265,bar foo,2.858166,a
332,-5.187039,foo bar,3.84726,a
333,-0.623985,foo,2.976772,b
334,-1.029106,,3.168229,b
335,-2.826284,bar,3.088383,a
336,1.424256,bar,,a
337,5.412313,foo,3.725925,b
338,13.400987,bar,1.930053,a
339,-15.692561,bar,3.775845,b
340,-5.103429,foo,2.039398,b
341,-4.477714,foo bar,2.277924,b
342,9.378503,,0.159153,b
343,-3.566631,foo bar,2.843917,b
344,-18.951756,foo,3.189189,b
345,0.877305,bar foo,3.827073,a
346,-0.336892,,4.310876,b
347,1.797516,bar foo,1.509787,a
348,-10.401629,bar,3.984827,a
349,17.190347,,2.535966,a
350,-3.238598,bar foo,2.92794,a
351,-1.882969,bar foo,2.894732,a
352,-9.000086,bar foo,2.550485,b
353,-9.31002,bar,,a
354,-12.22737,,,b
355,-3.933109,foo bar,3.811145,b
356,-9.575818,bar,,a
357,20.564673,,2.980541,a
358,-18.884924,bar foo,2.370988,b
359,-11.283305,foo,4.095922,b
360,-4.014144,foo,,b
361,6.734913,bar,4.508705,a
362,-4.137569,foo bar,1.451235,b
363,6.759634,foo bar,4.034197,a
364,-9.868039,,3.162665,b
365,0.592911,foo,2.274827,b
366,17.440411,bar foo,,a
